id_comentario	clase_comentario
comment_id_111725	Excelente
comment_id_304448	Muy buena
comment_id_215944	Excelente
comment_id_66691	Muy buena
comment_id_303394	Excelente
comment_id_66699	Excelente
comment_id_303828	Buena
comment_id_75733	Muy buena
comment_id_144936	Malo
comment_id_287978	Excelente
comment_id_136216	Excelente
comment_id_362050	Excelente
comment_id_237504	Malo
comment_id_253698	Buena
comment_id_136210	Muy buena
comment_id_333194	Muy buena
comment_id_315214	Excelente
comment_id_289604	Excelente
comment_id_151876	Muy buena
comment_id_228236	Malo
comment_id_80315	Muy buena
comment_id_193144	Muy buena
comment_id_80311	Muy buena
comment_id_147874	Excelente
comment_id_204154	Muy buena
comment_id_263736	Excelente
comment_id_48264	Buena
comment_id_68810	Muy buena
comment_id_89975	Malo
comment_id_92728	Muy buena
comment_id_79483	Buena
comment_id_92723	Muy buena
comment_id_169992	Muy buena
comment_id_256394	Malo
comment_id_39580	Muy buena
comment_id_171868	Buena
comment_id_175262	Excelente
comment_id_175264	Excelente
comment_id_323126	Excelente
comment_id_285728	Excelente
comment_id_366770	Muy buena
comment_id_47065	Excelente
comment_id_254222	Excelente
comment_id_345784	Excelente
comment_id_330714	Excelente
comment_id_12766	Muy buena
comment_id_12764	Excelente
comment_id_12765	Excelente
comment_id_266380	Excelente
comment_id_44786	Excelente
comment_id_179004	Muy buena
comment_id_345778	Excelente
comment_id_244766	Muy buena
comment_id_27121	Excelente
comment_id_9339	Excelente
comment_id_15346	Excelente
comment_id_332574	Buena
comment_id_28606	Excelente
comment_id_28607	Muy buena
comment_id_62848	Muy buena
comment_id_7735	Excelente
comment_id_62595	Buena
comment_id_336008	Buena
comment_id_120204	Malo
comment_id_10697	Muy buena
comment_id_43259	Excelente
comment_id_100772	Muy buena
comment_id_12832	Malo
comment_id_43255	Muy buena
comment_id_295104	Buena
comment_id_85531	Malo
comment_id_85530	Malo
comment_id_85241	Muy buena
comment_id_53837	Excelente
comment_id_85242	Muy buena
comment_id_33757	Muy buena
comment_id_213702	Muy buena
comment_id_9191	Excelente
comment_id_81408	Muy buena
comment_id_354818	Muy buena
comment_id_101791	Muy buena
comment_id_90646	Excelente
comment_id_288260	Buena
comment_id_101795	Excelente
comment_id_101796	Buena
comment_id_269972	Muy buena
comment_id_314308	Excelente
comment_id_89790	Muy buena
comment_id_311778	Buena
comment_id_131452	Muy buena
comment_id_56421	Muy buena
comment_id_64994	Malo
comment_id_110547	Buena
comment_id_246224	Excelente
comment_id_64992	Buena
comment_id_298894	Malo
comment_id_26529	Buena
comment_id_299354	Muy buena
comment_id_299350	Muy buena
comment_id_33532	Excelente
comment_id_98090	Muy buena
comment_id_266966	Excelente
comment_id_79880	Muy buena
comment_id_20960	Excelente
comment_id_98896	Muy buena
comment_id_369970	Excelente
comment_id_81893	Excelente
comment_id_191046	Excelente
comment_id_98899	Excelente
comment_id_19319	Malo
comment_id_284098	Muy buena
comment_id_56719	Muy buena
comment_id_334744	Excelente
comment_id_46555	Muy buena
comment_id_152964	Excelente
comment_id_46558	Buena
comment_id_367648	Muy buena
comment_id_56242	Excelente
comment_id_138140	Excelente
comment_id_353094	Excelente
comment_id_173952	Buena
comment_id_173950	Muy buena
comment_id_12806	Excelente
comment_id_59546	Buena
comment_id_135306	Excelente
comment_id_59543	Malo
comment_id_252622	Buena
comment_id_163972	Excelente
comment_id_4042	Excelente
comment_id_343326	Excelente
comment_id_112767	Malo
comment_id_206246	Excelente
comment_id_11124	Excelente
comment_id_11126	Excelente
comment_id_102217	Muy buena
comment_id_138682	Excelente
comment_id_11021	Excelente
comment_id_136988	Excelente
comment_id_34167	Muy buena
comment_id_34168	Excelente
comment_id_198764	Muy buena
comment_id_179236	Muy buena
comment_id_79085	Malo
comment_id_237344	Excelente
comment_id_79087	Muy buena
comment_id_133170	Malo
comment_id_113012	Excelente
comment_id_341872	Buena
comment_id_117044	Muy buena
comment_id_255842	Excelente
comment_id_67649	Muy buena
comment_id_113096	Excelente
comment_id_110733	Excelente
comment_id_210470	Malo
comment_id_64196	Excelente
comment_id_99279	Excelente
comment_id_225854	Excelente
comment_id_318960	Excelente
comment_id_96728	Muy buena
comment_id_188080	Buena
comment_id_274114	Excelente
comment_id_153566	Buena
comment_id_91110	Muy buena
comment_id_96723	Malo
comment_id_279438	Excelente
comment_id_91116	Excelente
comment_id_348490	Muy buena
comment_id_41525	Malo
comment_id_41526	Buena
comment_id_304608	Muy buena
comment_id_130912	Excelente
comment_id_307620	Excelente
comment_id_303378	Muy buena
comment_id_133358	Muy buena
comment_id_21217	Excelente
comment_id_371184	Buena
comment_id_368378	Muy buena
comment_id_54929	Muy buena
comment_id_356774	Excelente
comment_id_23925	Excelente
comment_id_286762	Muy buena
comment_id_50712	Buena
comment_id_128660	Malo
comment_id_279758	Excelente
comment_id_24258	Muy buena
comment_id_329202	Muy buena
comment_id_66593	Buena
comment_id_135980	Excelente
comment_id_119556	Excelente
comment_id_31261	Excelente
comment_id_31262	Muy buena
comment_id_69543	Excelente
comment_id_176480	Muy buena
comment_id_211782	Malo
comment_id_306318	Muy buena
comment_id_348678	Muy buena
comment_id_211250	Muy buena
comment_id_287010	Muy buena
comment_id_275996	Muy buena
comment_id_329180	Excelente
comment_id_369022	Buena
comment_id_329182	Malo
comment_id_275224	Buena
comment_id_191954	Muy buena
comment_id_25518	Excelente
comment_id_10230	Excelente
comment_id_71281	Muy buena
comment_id_111269	Muy buena
comment_id_71284	Muy buena
comment_id_111264	Excelente
comment_id_163592	Malo
comment_id_321098	Muy buena
comment_id_12226	Excelente
comment_id_265808	Excelente
comment_id_268838	Excelente
comment_id_169684	Excelente
comment_id_12221	Muy buena
comment_id_224056	Muy buena
comment_id_179822	Muy buena
comment_id_354382	Muy buena
comment_id_12229	Malo
comment_id_341046	Muy buena
comment_id_66776	Malo
comment_id_359004	Excelente
comment_id_316484	Muy buena
comment_id_95965	Excelente
comment_id_306646	Muy buena
comment_id_372192	Buena
comment_id_57847	Buena
comment_id_149512	Muy buena
comment_id_7895	Excelente
comment_id_74109	Buena
comment_id_82778	Malo
comment_id_125662	Malo
comment_id_193772	Excelente
comment_id_93749	Excelente
comment_id_170864	Excelente
comment_id_97189	Muy buena
comment_id_12596	Excelente
comment_id_72416	Buena
comment_id_288086	Muy buena
comment_id_54414	Muy buena
comment_id_316264	Excelente
comment_id_23212	Excelente
comment_id_276754	Excelente
comment_id_220908	Muy buena
comment_id_93606	Excelente
comment_id_160476	Muy buena
comment_id_288726	Muy buena
comment_id_191602	Excelente
comment_id_132622	Excelente
comment_id_294190	Muy buena
comment_id_89895	Excelente
comment_id_172592	Muy buena
comment_id_191608	Excelente
comment_id_109307	Excelente
comment_id_133580	Muy buena
comment_id_219206	Excelente
comment_id_151460	Muy buena
comment_id_285264	Muy buena
comment_id_58713	Excelente
comment_id_49858	Muy buena
comment_id_154108	Muy buena
comment_id_89780	Muy buena
comment_id_166612	Excelente
comment_id_88306	Muy buena
comment_id_166618	Excelente
comment_id_108437	Excelente
comment_id_38883	Malo
comment_id_125646	Buena
comment_id_75534	Buena
comment_id_105684	Malo
comment_id_150482	Muy buena
comment_id_4546	Excelente
comment_id_101161	Excelente
comment_id_101167	Buena
comment_id_239766	Excelente
comment_id_104082	Buena
comment_id_51591	Muy buena
comment_id_51592	Muy buena
comment_id_94213	Muy buena
comment_id_291016	Excelente
comment_id_175822	Excelente
comment_id_341202	Buena
comment_id_6768	Excelente
comment_id_234338	Buena
comment_id_264868	Excelente
comment_id_321950	Buena
comment_id_44589	Excelente
comment_id_26198	Excelente
comment_id_53992	Muy buena
comment_id_53441	Muy buena
comment_id_147114	Excelente
comment_id_53447	Buena
comment_id_205606	Malo
comment_id_48899	Muy buena
comment_id_48898	Excelente
comment_id_79508	Malo
comment_id_331722	Muy buena
comment_id_121630	Excelente
comment_id_331724	Malo
comment_id_48895	Muy buena
comment_id_62457	Buena
comment_id_62455	Buena
comment_id_49885	Muy buena
comment_id_92911	Muy buena
comment_id_355802	Excelente
comment_id_157516	Excelente
comment_id_104882	Muy buena
comment_id_51627	Excelente
comment_id_200276	Muy buena
comment_id_84327	Excelente
comment_id_289410	Muy buena
comment_id_333380	Buena
comment_id_110395	Muy buena
comment_id_333386	Muy buena
comment_id_29740	Buena
comment_id_44582	Buena
comment_id_36931	Excelente
comment_id_53665	Excelente
comment_id_202428	Buena
comment_id_158320	Excelente
comment_id_53190	Excelente
comment_id_140852	Excelente
comment_id_26285	Muy buena
comment_id_248514	Buena
comment_id_65451	Buena
comment_id_180142	Excelente
comment_id_34751	Muy buena
comment_id_7386	Excelente
comment_id_121942	Excelente
comment_id_34755	Excelente
comment_id_261928	Excelente
comment_id_74321	Muy buena
comment_id_332386	Muy buena
comment_id_162964	Excelente
comment_id_28834	Excelente
comment_id_264732	Excelente
comment_id_367346	Muy buena
comment_id_264730	Muy buena
comment_id_41121	Muy buena
comment_id_288606	Muy buena
comment_id_170190	Muy buena
comment_id_323374	Malo
comment_id_110976	Muy buena
comment_id_311310	Malo
comment_id_153178	Excelente
comment_id_330890	Malo
comment_id_59734	Malo
comment_id_363556	Muy buena
comment_id_335606	Excelente
comment_id_110979	Buena
comment_id_106650	Buena
comment_id_59974	Buena
comment_id_106300	Excelente
comment_id_26288	Excelente
comment_id_34578	Excelente
comment_id_41067	Excelente
comment_id_41061	Buena
comment_id_248184	Buena
comment_id_135172	Excelente
comment_id_98406	Malo
comment_id_275628	Muy buena
comment_id_345234	Excelente
comment_id_324474	Excelente
comment_id_120548	Excelente
comment_id_202730	Excelente
comment_id_78276	Muy buena
comment_id_284396	Excelente
comment_id_284394	Buena
comment_id_44457	Excelente
comment_id_239926	Muy buena
comment_id_246056	Buena
comment_id_317656	Buena
comment_id_236510	Buena
comment_id_137444	Muy buena
comment_id_254582	Excelente
comment_id_137114	Muy buena
comment_id_213668	Buena
comment_id_339728	Buena
comment_id_128874	Excelente
comment_id_128876	Buena
comment_id_319794	Malo
comment_id_197928	Buena
comment_id_239794	Malo
comment_id_370206	Excelente
comment_id_73617	Excelente
comment_id_297162	Excelente
comment_id_308632	Muy buena
comment_id_232044	Excelente
comment_id_88248	Muy buena
comment_id_95134	Excelente
comment_id_191388	Excelente
comment_id_10522	Excelente
comment_id_236050	Buena
comment_id_169428	Muy buena
comment_id_152228	Excelente
comment_id_40332	Muy buena
comment_id_194716	Malo
comment_id_56908	Muy buena
comment_id_365070	Excelente
comment_id_35621	Muy buena
comment_id_93199	Buena
comment_id_99132	Muy buena
comment_id_99133	Muy buena
comment_id_35626	Excelente
comment_id_189926	Buena
comment_id_138468	Buena
comment_id_198406	Excelente
comment_id_148236	Malo
comment_id_6164	Excelente
comment_id_361480	Malo
comment_id_25214	Muy buena
comment_id_25217	Muy buena
comment_id_298354	Excelente
comment_id_261744	Excelente
comment_id_30054	Excelente
comment_id_30507	Excelente
comment_id_13959	Muy buena
comment_id_211706	Muy buena
comment_id_333812	Muy buena
comment_id_117706	Muy buena
comment_id_4834	Excelente
comment_id_333548	Muy buena
comment_id_321132	Muy buena
comment_id_127896	Malo
comment_id_107479	Muy buena
comment_id_168664	Malo
comment_id_313026	Excelente
comment_id_271226	Muy buena
comment_id_148056	Muy buena
comment_id_286530	Muy buena
comment_id_96443	Muy buena
comment_id_96114	Buena
comment_id_38086	Excelente
comment_id_102025	Excelente
comment_id_190388	Muy buena
comment_id_102531	Buena
comment_id_347696	Malo
comment_id_92350	Muy buena
comment_id_347690	Malo
comment_id_11926	Excelente
comment_id_49443	Buena
comment_id_126672	Buena
comment_id_188522	Malo
comment_id_344008	Excelente
comment_id_122304	Buena
comment_id_244516	Excelente
comment_id_142374	Muy buena
comment_id_111703	Excelente
comment_id_328772	Excelente
comment_id_338722	Excelente
comment_id_337516	Buena
comment_id_328778	Buena
comment_id_107213	Buena
comment_id_248114	Excelente
comment_id_33232	Excelente
comment_id_54629	Excelente
comment_id_54628	Excelente
comment_id_228818	Excelente
comment_id_140206	Excelente
comment_id_226994	Muy buena
comment_id_155020	Muy buena
comment_id_38900	Excelente
comment_id_16060	Excelente
comment_id_39071	Muy buena
comment_id_161076	Excelente
comment_id_92746	Excelente
comment_id_89241	Muy buena
comment_id_186318	Malo
comment_id_165838	Excelente
comment_id_39077	Muy buena
comment_id_92743	Muy buena
comment_id_283708	Muy buena
comment_id_186316	Buena
comment_id_151850	Malo
comment_id_277100	Buena
comment_id_289622	Muy buena
comment_id_222714	Malo
comment_id_258008	Excelente
comment_id_63622	Malo
comment_id_209656	Malo
comment_id_63194	Malo
comment_id_77444	Muy buena
comment_id_103955	Buena
comment_id_103954	Excelente
comment_id_327862	Muy buena
comment_id_263714	Excelente
comment_id_332630	Muy buena
comment_id_332634	Buena
comment_id_221194	Buena
comment_id_89954	Buena
comment_id_83582	Excelente
comment_id_89952	Buena
comment_id_165574	Buena
comment_id_349198	Muy buena
comment_id_189602	Excelente
comment_id_95374	Buena
comment_id_349444	Excelente
comment_id_355904	Muy buena
comment_id_323146	Excelente
comment_id_154644	Buena
comment_id_120044	Buena
comment_id_366288	Muy buena
comment_id_230430	Excelente
comment_id_29970	Excelente
comment_id_323148	Muy buena
comment_id_315096	Excelente
comment_id_5004	Excelente
comment_id_350060	Malo
comment_id_330778	Excelente
comment_id_330774	Muy buena
comment_id_204162	Buena
comment_id_127232	Buena
comment_id_90218	Excelente
comment_id_66015	Buena
comment_id_166164	Muy buena
comment_id_250910	Malo
comment_id_28625	Excelente
comment_id_21152	Muy buena
comment_id_206836	Buena
comment_id_57413	Muy buena
comment_id_120220	Malo
comment_id_78040	Buena
comment_id_120800	Excelente
comment_id_349228	Excelente
comment_id_100797	Buena
comment_id_324884	Excelente
comment_id_38700	Muy buena
comment_id_38701	Muy buena
comment_id_36543	Muy buena
comment_id_220718	Excelente
comment_id_274860	Muy buena
comment_id_299118	Muy buena
comment_id_72193	Muy buena
comment_id_211032	Buena
comment_id_220712	Muy buena
comment_id_115136	Excelente
comment_id_174998	Buena
comment_id_33886	Buena
comment_id_135768	Muy buena
comment_id_81420	Muy buena
comment_id_230032	Muy buena
comment_id_81424	Muy buena
comment_id_354832	Buena
comment_id_308642	Excelente
comment_id_81521	Buena
comment_id_174194	Excelente
comment_id_121798	Muy buena
comment_id_81529	Malo
comment_id_37414	Excelente
comment_id_372520	Malo
comment_id_42277	Buena
comment_id_24245	Excelente
comment_id_246200	Muy buena
comment_id_114082	Muy buena
comment_id_106828	Muy buena
comment_id_262620	Excelente
comment_id_188368	Buena
comment_id_118280	Muy buena
comment_id_281280	Muy buena
comment_id_33088	Excelente
comment_id_8008	Excelente
comment_id_65593	Muy buena
comment_id_59706	Malo
comment_id_252184	Malo
comment_id_8001	Excelente
comment_id_24243	Excelente
comment_id_33086	Muy buena
comment_id_33087	Excelente
comment_id_197714	Muy buena
comment_id_11496	Excelente
comment_id_327270	Muy buena
comment_id_74050	Excelente
comment_id_331556	Excelente
comment_id_20902	Muy buena
comment_id_121570	Excelente
comment_id_79312	Muy buena
comment_id_370956	Buena
comment_id_224470	Muy buena
comment_id_19372	Buena
comment_id_19373	Muy buena
comment_id_46575	Excelente
comment_id_334892	Buena
comment_id_161422	Excelente
comment_id_334728	Muy buena
comment_id_217498	Excelente
comment_id_183696	Buena
comment_id_183694	Muy buena
comment_id_138128	Excelente
comment_id_114668	Excelente
comment_id_165506	Excelente
comment_id_75053	Muy buena
comment_id_53277	Muy buena
comment_id_11149	Buena
comment_id_97760	Excelente
comment_id_18433	Muy buena
comment_id_112709	Muy buena
comment_id_364284	Excelente
comment_id_260192	Malo
comment_id_88467	Muy buena
comment_id_92109	Buena
comment_id_16700	Muy buena
comment_id_92105	Muy buena
comment_id_96867	Excelente
comment_id_305358	Excelente
comment_id_334098	Excelente
comment_id_112000	Muy buena
comment_id_117060	Muy buena
comment_id_255862	Excelente
comment_id_355018	Excelente
comment_id_352290	Excelente
comment_id_138870	Malo
comment_id_26090	Muy buena
comment_id_306550	Malo
comment_id_119056	Excelente
comment_id_80926	Muy buena
comment_id_294928	Excelente
comment_id_43909	Excelente
comment_id_274132	Excelente
comment_id_310446	Excelente
comment_id_119394	Excelente
comment_id_260370	Excelente
comment_id_348472	Muy buena
comment_id_83000	Muy buena
comment_id_28027	Malo
comment_id_73806	Buena
comment_id_144744	Excelente
comment_id_243324	Excelente
comment_id_25687	Excelente
comment_id_270902	Excelente
comment_id_136012	Malo
comment_id_267974	Buena
comment_id_15499	Excelente
comment_id_280668	Buena
comment_id_201242	Muy buena
comment_id_23909	Excelente
comment_id_253326	Malo
comment_id_286700	Excelente
comment_id_29210	Muy buena
comment_id_331152	Muy buena
comment_id_29213	Excelente
comment_id_28098	Excelente
comment_id_29217	Muy buena
comment_id_213502	Excelente
comment_id_69568	Muy buena
comment_id_143286	Excelente
comment_id_332824	Buena
comment_id_213858	Buena
comment_id_25539	Excelente
comment_id_326658	Excelente
comment_id_104827	Buena
comment_id_158976	Malo
comment_id_158974	Muy buena
comment_id_102943	Excelente
comment_id_102942	Malo
comment_id_329166	Buena
comment_id_270638	Malo
comment_id_129454	Muy buena
comment_id_122170	Muy buena
comment_id_242008	Excelente
comment_id_358734	Excelente
comment_id_82433	Excelente
comment_id_143986	Malo
comment_id_103549	Buena
comment_id_82437	Muy buena
comment_id_156632	Excelente
comment_id_12204	Muy buena
comment_id_301852	Excelente
comment_id_229220	Buena
comment_id_64718	Malo
comment_id_313496	Buena
comment_id_201650	Malo
comment_id_93763	Buena
comment_id_50194	Muy buena
comment_id_359020	Excelente
comment_id_313940	Muy buena
comment_id_48657	Excelente
comment_id_189594	Muy buena
comment_id_189260	Muy buena
comment_id_245586	Muy buena
comment_id_250212	Muy buena
comment_id_95905	Buena
comment_id_172758	Buena
comment_id_303724	Muy buena
comment_id_303726	Muy buena
comment_id_167814	Buena
comment_id_123222	Muy buena
comment_id_280180	Buena
comment_id_37542	Excelente
comment_id_30265	Excelente
comment_id_63583	Buena
comment_id_362938	Muy buena
comment_id_149062	Excelente
comment_id_62025	Excelente
comment_id_74161	Buena
comment_id_58554	Malo
comment_id_193714	Malo
comment_id_217992	Muy buena
comment_id_38281	Muy buena
comment_id_365628	Muy buena
comment_id_267352	Muy buena
comment_id_267354	Excelente
comment_id_108181	Excelente
comment_id_160458	Muy buena
comment_id_54474	Buena
comment_id_316204	Excelente
comment_id_197480	Malo
comment_id_108635	Muy buena
comment_id_54472	Muy buena
comment_id_76184	Muy buena
comment_id_76186	Muy buena
comment_id_86434	Excelente
comment_id_146660	Buena
comment_id_52730	Buena
comment_id_146846	Excelente
comment_id_45886	Excelente
comment_id_45330	Excelente
comment_id_104532	Malo
comment_id_100894	Muy buena
comment_id_104530	Buena
comment_id_104247	Muy buena
comment_id_13153	Excelente
comment_id_109322	Excelente
comment_id_109323	Muy buena
comment_id_250314	Malo
comment_id_58080	Muy buena
comment_id_194298	Muy buena
comment_id_63299	Muy buena
comment_id_58086	Muy buena
comment_id_159140	Excelente
comment_id_194296	Buena
comment_id_166672	Muy buena
comment_id_227538	Muy buena
comment_id_304988	Muy buena
comment_id_322374	Excelente
comment_id_51196	Excelente
comment_id_52848	Buena
comment_id_52845	Buena
comment_id_211062	Buena
comment_id_149376	Excelente
comment_id_192990	Excelente
comment_id_92681	Malo
comment_id_126332	Malo
comment_id_237954	Excelente
comment_id_333018	Excelente
comment_id_207712	Excelente
comment_id_139598	Buena
comment_id_134708	Muy buena
comment_id_77588	Excelente
comment_id_43485	Muy buena
comment_id_77585	Malo
comment_id_77583	Excelente
comment_id_63874	Muy buena
comment_id_247232	Excelente
comment_id_309932	Excelente
comment_id_265240	Excelente
comment_id_228000	Excelente
comment_id_304182	Excelente
comment_id_80109	Malo
comment_id_91951	Buena
comment_id_309938	Muy buena
comment_id_310140	Excelente
comment_id_247526	Excelente
comment_id_356590	Muy buena
comment_id_257832	Excelente
comment_id_36680	Excelente
comment_id_298766	Buena
comment_id_363364	Buena
comment_id_311092	Buena
comment_id_125788	Muy buena
comment_id_360148	Excelente
comment_id_23318	Excelente
comment_id_39622	Muy buena
comment_id_192190	Muy buena
comment_id_84347	Buena
comment_id_46684	Buena
comment_id_365424	Buena
comment_id_323688	Muy buena
comment_id_368808	Excelente
comment_id_255094	Buena
comment_id_307982	Excelente
comment_id_371230	Buena
comment_id_324436	Excelente
comment_id_307988	Excelente
comment_id_234780	Muy buena
comment_id_353172	Excelente
comment_id_36950	Excelente
comment_id_26978	Muy buena
comment_id_106495	Buena
comment_id_86854	Excelente
comment_id_310858	Excelente
comment_id_88691	Muy buena
comment_id_88693	Excelente
comment_id_101852	Malo
comment_id_101850	Muy buena
comment_id_105375	Muy buena
comment_id_14312	Muy buena
comment_id_342752	Muy buena
comment_id_130036	Excelente
comment_id_158360	Excelente
comment_id_202286	Excelente
comment_id_10150	Excelente
comment_id_218670	Muy buena
comment_id_25334	Excelente
comment_id_120564	Muy buena
comment_id_125048	Buena
comment_id_239498	Malo
comment_id_33835	Excelente
comment_id_106674	Muy buena
comment_id_173500	Muy buena
comment_id_340668	Buena
comment_id_343480	Excelente
comment_id_139422	Muy buena
comment_id_79685	Excelente
comment_id_368862	Malo
comment_id_34776	Excelente
comment_id_342576	Excelente
comment_id_332052	Excelente
comment_id_79789	Malo
comment_id_293956	Muy buena
comment_id_131868	Excelente
comment_id_63997	Muy buena
comment_id_323666	Muy buena
comment_id_357070	Muy buena
comment_id_372410	Muy buena
comment_id_172408	Muy buena
comment_id_89619	Excelente
comment_id_185900	Malo
comment_id_56695	Muy buena
comment_id_202632	Muy buena
comment_id_260638	Excelente
comment_id_296726	Excelente
comment_id_125300	Muy buena
comment_id_186166	Excelente
comment_id_64521	Buena
comment_id_231444	Excelente
comment_id_64525	Excelente
comment_id_64524	Buena
comment_id_99481	Muy buena
comment_id_94829	Excelente
comment_id_99333	Muy buena
comment_id_99335	Excelente
comment_id_153090	Muy buena
comment_id_34800	Muy buena
comment_id_57619	Muy buena
comment_id_73327	Excelente
comment_id_98682	Malo
comment_id_57340	Muy buena
comment_id_61358	Excelente
comment_id_71140	Muy buena
comment_id_52426	Muy buena
comment_id_148432	Excelente
comment_id_73637	Malo
comment_id_308454	Excelente
comment_id_143244	Buena
comment_id_261762	Muy buena
comment_id_159962	Malo
comment_id_119540	Muy buena
comment_id_56965	Muy buena
comment_id_359964	Excelente
